760,ID2
761,ID3
762,IFI6
763,IFIT1
764,IFIT2
765,IFIT3
766,IFNAR2
767,IFT80
768,IGF1R
769,IGF2BP1
770,IGF2R
771,IGFBP3
772,IGFBP7
773,IKBKAP
774,IKBKB
775,IKBKE
776,IL11
777,IL11RA
778,IL17RA
779,IL18
780,IL1RAP
781,IL1RN
782,IL2
783,IL27RA
784,IL6
785,IL6R
786,IL8
787,ILF2
788,ILF3
789,ILVBL
790,IMPA2
791,ING1
792,INO80B
793,INPP4A
794,INPP5D
795,INPPL1
796,INSIG1
797,INSIG2
798,IP6K2
799,IPO5
800,IPO8
801,IPO9
802,IRAK1
803,IRF5
804,IRS1
805,IRS2
806,IRS4
807,ISG15
808,ITCH
809,ITGA1
810,ITGA3
811,ITGA5
812,ITGA6
813,ITGA9
814,ITGB1
815,ITGB3
816,ITGB4
817,ITIH4
818,ITPK1
819,JAG1
820,JAG2
821,JAK1
822,JAK2
823,JARID2
824,JMY
825,JUN
826,JUP
827,KARS
828,KAT2A
829,KCND1
830,KCNE1
831,KCNH2
832,KCNJ2
833,KCNN4
834,KCNQ1
835,KCNQ2
836,KDELR1
837,KDM1A
838,KDR
839,KIAA0232
840,KIAA0513
841,KIAA1191
842,KIAA1524
843,KIAA1598
844,KIF1A
845,KIF1C
846,KIF22
847,KIF23
848,KIF2A
849,KIF2C
850,KIF4A
851,KIF5B
852,KIT
853,KLC2
854,KLF11
855,KLF13
856,KLF4
857,KLHL12
858,KLHL20
859,KLHL3
860,KLK10
861,KLK6
862,KNTC1
863,KPNA4
864,KPNB1
865,KRAS
866,KREMEN1
867,KRT19
868,KRT5
869,KRT7
870,KRT8
871,KRTAP3-2
872,L1CAM
873,L3MBTL2
874,LAMB3
875,LAMC1
876,LAMP1
877,LARP1
878,LASP1
879,LATS2
880,LBR
881,LCP1
882,LDHB
883,LDOC1
884,LEMD3
885,LEPROTL1
886,LGALS1
887,LGALS3BP
888,LHX4
889,LIF
890,LIFR
891,LIMK1
892,LIMS1
893,LIN7C
894,LIPC
895,LITAF
896,LMNB1
897,LMO2
898,LNPEP
899,LRCH4
900,LRP1
901,LRRC8D
902,LRRFIP1
903,LSM12
904,LTB
905,LUC7L2
906,LUC7L3
907,M6PR
908,MACROD1
909,MAD2L1
910,MAF1
911,MAFB
912,MAFG
913,MAN2A2
914,MAP2K1
915,MAP2K4
916,MAP3K10
917,MAP3K12
918,MAP3K2
919,MAP3K8
920,MAP4
921,MAP4K2
922,MAP7D1
923,MAPK14
924,MAPK7
925,MAPK8
926,MAPK8IP1
927,MAPK9
928,MAPKAP1
929,MARCKS
930,MARS
931,MAST3
932,MAT2B
933,MATR3
934,MAX
935,MBD2
936,MCAM
937,MCFD2
938,MCL1
939,MCM10
940,MCM2
941,MCM3
942,MCM3AP
943,MCM4
944,MCM5
945,MCM6
946,MCM7
947,MDC1
948,MDH2
949,MDM2
950,MECP2
951,MECR
952,MED1
953,MED15
954,MED16
955,MED28
956,MED8
957,MEF2A
958,MEF2D
959,MEGF8
960,MEIS1
961,MEOX2
962,MERTK
963,MET
964,METTL2B
965,MFN2
966,MGAT4B
967,MICA
968,MIER1
969,MINPP1
970,MITF
971,MKI67
972,MKRN1
973,MLH3
974,MLLT1
975,MLLT4
976,MLX
977,MLXIP
978,MME
979,MMP1
980,MMP13
981,MMP2
982,MMP3
983,MMP9
984,MNS1
985,MNT
986,MPDU1
